ap088_ashtpahud_1970_71.mp3 - ['166', '06 Moksh Pahud', '65-69', 'Hin', None, None]
ap090_ashtpahud_1970_71.mp3 - ['168', '06 Moksh Pahud', '73-75', 'Guj', None, None]
ap091_ashtpahud_1970_71.mp3 - ['169', '06 Moksh Pahud', '76-79', 'Guj', None, None]
ap092_ashtpahud_1970_71.mp3 - ['170', '06 Moksh Pahud', '79-82', 'Guj', None, None]
ap093_ashtpahud_1970_71.mp3 - ['171', '06 Moksh Pahud', '82-83', 'Guj', None, None]
ap094_ashtpahud_1970_71.mp3 - ['172', '06 Moksh Pahud', '84-86', 'Guj', None, None]
ap095_ashtpahud_1970_71.mp3 - ['173', '06 Moksh Pahud', '87-89', 'Guj', None, None]
ap096_ashtpahud_1970_71.mp3 - ['174', '06 Moksh Pahud', '90-92', 'Guj', None, None]
ap097_ashtpahud_1970_71.mp3 - ['175', '06 Moksh Pahud', '93-97', 'Guj', None, None]
ap098_ashtpahud_1970_71.mp3 - ['176', '06 Moksh Pahud', '97-100', 'Guj', None, None]
ap099_ashtpahud_1970_71.mp3 - ['177', '06 Moksh Pahud', '101-103', 'Guj', None, None]
ap100_ashtpahud_1970_71.mp3 - ['178', '06 Moksh Pahud', '104-105', 'Guj', None, None]
ap101_ashtpahud_1970_71.mp3 - ['179', '06 Moksh Pahud', '106', 'Guj', None, None]
ap102_ashtpahud_1970_71.mp3 - ['180', '06 Moksh Pahud', '106', 'Guj', None, None]
apt133_ashtpahud_1973_74.mp3 - ['161', '06 Moksh Pahud', '53-55', 'Guj', None, None]
apt138_ashtpahud_1973_74.mp3 - ['167', '06 Moksh Pahud', '70-73', 'Guj', None, None]
apt155_ashtpahud_1973_74.mp3 - ['181', '06 Moksh Pahud', '106', 'Guj', None, None]
ap175_ashtpahud_1970_71.mp3 - ['074', '04 Bodh Pahud', '61-62', 'Guj', '07 Ling Pahud', '1-2']
ap176_ashtpahud_1970_71.mp3 - ['182', '07 Ling Pahud', '2-6', 'Guj', None, None]
ap177_ashtpahud_1970_71.mp3 - ['183', '07 Ling Pahud', '7-9', 'Guj', None, None]
ap178_ashtpahud_1970_71.mp3 - ['184', '07 Ling Pahud', '10-14', 'Guj', None, None]
ap179_ashtpahud_1970_71.mp3 - ['185', '07 Ling Pahud', '15-22', 'Guj', None, None]
ap180_ashtpahud_1970_71.mp3 - ['186', '08 Sheel Pahud', '1-2', 'Hin', None, None]
ap181_ashtpahud_1970_71.mp3 - ['187', '08 Sheel Pahud', '2-4', 'Guj', None, None]
ap182_ashtpahud_1970_71.mp3 - ['188', '08 Sheel Pahud', '4-6', 'Guj', None, None]
ap183_ashtpahud_1970_71.mp3 - ['189', '08 Sheel Pahud', '7-10', 'Guj', None, None]
ap184_ashtpahud_1970_71.mp3 - ['190', '08 Sheel Pahud', '10-13', 'Guj', None, None]
ap185_ashtpahud_1970_71.mp3 - ['191', '08 Sheel Pahud', '13-14', 'Hin', None, None]
ap186_ashtpahud_1970_71.mp3 - ['192', '08 Sheel Pahud', '15-18', 'Hin', None, None]
ap187_ashtpahud_1970_71.mp3 - ['193', '08 Sheel Pahud', '19-20', 'Hin', None, None]
ap188_ashtpahud_1970_71.mp3 - ['194', '08 Sheel Pahud', '20-21', 'Hin', None, None]
ap189_ashtpahud_1970_71.mp3 - ['195', '08 Sheel Pahud', '22-24', 'Guj', None, None]
ap190_ashtpahud_1970_71.mp3 - ['196', '08 Sheel Pahud', '24-26', 'Guj', None, None]
ap191_ashtpahud_1970_71.mp3 - ['197', '08 Sheel Pahud', '27-29', 'Guj', None, None]
ap192_ashtpahud_1970_71.mp3 - ['198', '08 Sheel Pahud', '29-31', 'Guj', None, None]
ap193_ashtpahud_1970_71.mp3 - ['199', '08 Sheel Pahud', '32-33', 'Guj', None, None]
ap194_ashtpahud_1970_71.mp3 - ['200', '08 Sheel Pahud', '33-37', 'Guj', None, None]
ap195_ashtpahud_1970_71.mp3 - ['201', '08 Sheel Pahud', '37-38', 'Hin', None, None]
ap196_ashtpahud_1970_71.mp3 - ['202', '08 Sheel Pahud', '38-40', 'Guj', None, None]
